stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1000:1,1000,Glen Northbound @ Medina,,43.87268331,-78.855412,,,0,,,1
1001:1,1001,Northbound @ 825 Glen,,43.87529628,-78.856489,,,0,,,1
1002:1,1002,Malaga Westbound @ Oxford,,43.875507,-78.858799,,,0,,,1
1003:1,1003,Malaga Westbound @ Park,,43.874698,-78.862502,,,0,,,1
100:1,100,McQuay Northbound @ Dundas,,43.87593224,-78.961715,,,0,,,1
1014:1,1014,Malaga Eastbound @ Park,,43.87443,-78.863301,,,0,,,2
1015:1,1015,Malaga Eastbound @ Oxford (West side stop),,43.875032,-78.86054799999998,,,0,,,1
1016:1,1016,Malaga Eastbound @ Oxford (East side stop),,43.875586,-78.857982,,,0,,,1
1017:1,1017,Southbound @ 830 Glen,,43.87507063000001,-78.85656,,,0,,,1
1018:1,1018,Glen Southbound @ Medina,,43.87281378,-78.855636,,,0,,,1
1019:1,1019,Glen Southbound @ Porter,,43.871258,-78.854967,,,0,,,1
101:1,101,McQuay Northbound @ Moonstone,,43.878431,-78.96314599999998,,,0,,,1
1020:1,1020,Wentworth Eastbound @ Ravine,,43.873007,-78.846475,,,0,,,1
1023:1,1023,Simcoe Southbound @ Ritson,,43.872059,-78.841181,,,0,,,1
1024:1,1024,Simcoe Southbound @ Wellington,,43.870666,-78.8386,,,0,,,1
1025:1,1025,Simcoe Southbound @ Kawartha,,43.86897900000001,-78.835431,,,0,,,1
1027:1,1027,Westbound @ 60 Lakeview Park,,43.863287,-78.82959099999998,,,0,,,1
1029:1,1029,Lakeview Park Westbound @ Ritson,,43.861379,-78.836721,,,0,,,1
102:1,102,McQuay Northbound @ Kennett,,43.879593,-78.965224,,,0,,,1
1030:1,1030,Ritson Northbound @ Madawaska,,43.863309,-78.837959,,,0,,,2
1031:1,1031,Phillip Murray Southbound @ Fundy,,43.864094,-78.84241,,,0,,,1
1032:1,1032,Phillip Murray Southbound @ Scugog,,43.86300700000001,-78.84441,,,0,,,1
1033:1,1033,Cedar Northbound @ Phillip Murray,,43.86144322995122,-78.84781779532226,,,0,,,1
103:1,103,McQuay Northbound @ Balsdon,,43.881326,-78.966408,,,0,,,1
104:1,104,McQuay Northbound @ Bonacord,,43.8836627,-78.9673866,,,0,,,1
1052:1,1052,Eastbound @ 1733 Victoria,,43.867405,-78.899322,,,0,,,2
1053:1,1053,Eastbound @ 555 Bloor,,43.8748675,-78.8787787,,,0,,,1
1055:1,1055,Eastbound @ 249 Bloor,,43.878406,-78.864296,,,0,,,1
1056:1,1056,Bloor Eastbound @ Oxford,,43.879381,-78.860118,,,0,,,1
1057:1,1057,Bloor Eastbound @ Simcoe,,43.880241,-78.856285,,,0,,,1
1058:1,1058,Bloor Eastbound @ Albert,,43.880885,-78.853414,,,0,,,1
1059:1,1059,Bloor Eastbound @ Merritt,,43.8816337,-78.8499396,,,0,,,1
105:1,105,McQuay Northbound @ Guthrie,,43.8852378,-78.968363,,,0,,,1
1066:1,1066,Eastbound @ 887 Bloor,,43.888433,-78.819826,,,0,,,2
1067:1,1067,Grandview Southbound @ Bloor (South side stop),,43.889648,-78.813063,,,0,,,1
1068:1,1068,Grandview Southbound @ Downview,,43.88767,-78.810582,,,0,,,1
1069:1,1069,Grandview Southbound @ Norman,,43.88659650000001,-78.8095866,,,0,,,1
106:1,106,McQuay Northbound @ Renfield,,43.888336,-78.969264,,,0,,,1
1070:1,1070,Grandview Eastbound @ Southdown,,43.886499,-78.806985,,,0,,,1
1071:1,1071,Townline Northbound @ Grandview,,43.88752003,-78.80497908,,,0,,,1
1073:1,1073,Townline Northbound @ Gord Vinson,,43.8893175,-78.805783,,,0,,,1
1074:1,1074,Townline Northbound @ Bloor (North side stop),,43.891624,-78.80677,,,0,,,1
107:1,107,McQuay Northbound @ Jacob,,43.89000200000001,-78.97109399999998,,,0,,,1
1080:1,1080,Westbound @ 882 Bloor,,43.888469,-78.820015,,,0,,,1
1083:1,1083,Bloor Westbound @ Farewell,,43.885798,-78.83223599999998,,,0,,,1
1084:1,1084,Bloor Westbound @ Holland,,43.885282,-78.83441,,,0,,,1
1088:1,1088,Bloor Westbound @ Merritt,,43.881681,-78.85046,,,0,,,1
1089:1,1089,Bloor Westbound @ Simcoe,,43.880638,-78.855267,,,0,,,1
108:1,108,McQuay Westbound @ Muir,,43.889791,-78.97463999999998,,,0,,,1
1090:1,1090,Bloor Westbound @ Oxford,,43.8794327,-78.86027799999998,,,0,,,1
