route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,direction_name,wheelchair_accessible
101,Weekday,1004__12003_Timetable_-_2021-10,A - Pickering Parkway Terminal,0,12003_Timetable_-_2021-10,100.0.1046828622_Timetable_-_2021-10,Clockwise,1
101,Weekday,1005__12003_Timetable_-_2021-10,A - Pickering Parkway Terminal,0,12003_Timetable_-_2021-10,100.0.1046828622_Timetable_-_2021-10,Clockwise,1
101,Weekday,1006__12015_Timetable_-_2021-10,Pickering Parkway Terminal via Pickering Station,1,12015_Timetable_-_2021-10,100.0.1046828621_Timetable_-_2021-10,Counter Clockwise,1
101,Weekday,1007__12015_Timetable_-_2021-10,Pickering Parkway Terminal via Pickering Station,1,12015_Timetable_-_2021-10,100.0.1046828621_Timetable_-_2021-10,Counter Clockwise,1
101,Weekday,1008__12015_Timetable_-_2021-10,Pickering Parkway Terminal via Pickering Station,1,12015_Timetable_-_2021-10,100.0.1046828621_Timetable_-_2021-10,Counter Clockwise,1
101,Weekday,1009__12003_Timetable_-_2021-10,A - Pickering Parkway Terminal,0,12003_Timetable_-_2021-10,100.0.1046828622_Timetable_-_2021-10,Clockwise,1
900,Saturday,100__64908_Timetable_-_2021-10,Oshawa,0,64908_Timetable_-_2021-10,100.0.995817755_Timetable_-_2021-10,Eastbound,1
101,Weekday,1010__12003_Timetable_-_2021-10,A - Pickering Parkway Terminal,0,12003_Timetable_-_2021-10,100.0.1046828622_Timetable_-_2021-10,Clockwise,1
101,Weekday,1011__12003_Timetable_-_2021-10,A - Pickering Parkway Terminal,0,12003_Timetable_-_2021-10,100.0.1046828622_Timetable_-_2021-10,Clockwise,1
101,Weekday,1012__12015_Timetable_-_2021-10,Pickering Parkway Terminal via Pickering Station,1,12015_Timetable_-_2021-10,100.0.1046828621_Timetable_-_2021-10,Counter Clockwise,1
101,Weekday,1013__12003_Timetable_-_2021-10,A - Pickering Parkway Terminal,0,12003_Timetable_-_2021-10,100.0.1046828622_Timetable_-_2021-10,Clockwise,1
101,Weekday,1014__12015_Timetable_-_2021-10,Pickering Parkway Terminal via Pickering Station,1,12015_Timetable_-_2021-10,100.0.1046828621_Timetable_-_2021-10,Counter Clockwise,1
101,Weekday,1015__12015_Timetable_-_2021-10,Pickering Parkway Terminal via Pickering Station,1,12015_Timetable_-_2021-10,100.0.1046828621_Timetable_-_2021-10,Counter Clockwise,1
101,Weekday,1016__12015_Timetable_-_2021-10,Pickering Parkway Terminal via Pickering Station,1,12015_Timetable_-_2021-10,100.0.1046828621_Timetable_-_2021-10,Counter Clockwise,1
101,Weekday,1017__12015_Timetable_-_2021-10,Pickering Parkway Terminal via Pickering Station,1,12015_Timetable_-_2021-10,100.0.1046828621_Timetable_-_2021-10,Counter Clockwise,1
917,SaturdayReg,1018__62022_Timetable_-_2021-10,Oshawa Centre Terminal,0,62022_Timetable_-_2021-10,100.0.1046831485_Timetable_-_2021-10,Eastbound,1
120,Weekday,1019__12019_Timetable_-_2021-10,Sunbird Trail,0,12019_Timetable_-_2021-10,100.0.1046828733_Timetable_-_2021-10,Northbound,1
900,Saturday,101__62904_Timetable_-_2021-10,B - Pickering Town Centre,1,62904_Timetable_-_2021-10,100.0.11522189610_Timetable_-_2021-10,Westbound,1
917,SaturdayReg,1020__3605_Timetable_-_2021-10,Oshawa Centre Terminal,0,3605_Timetable_-_2021-10,100.0.1046831486_Timetable_-_2021-10,Eastbound,1
917,SaturdayReg,1021__62019_Timetable_-_2021-10,Oshawa Centre Terminal,0,62019_Timetable_-_2021-10,100.0.1046831486_Timetable_-_2021-10,Eastbound,1
917,SaturdayReg,1022__62022_Timetable_-_2021-10,Oshawa Centre Terminal,0,62022_Timetable_-_2021-10,100.0.1046831486_Timetable_-_2021-10,Eastbound,1
120,Weekday,1023__12034_Timetable_-_2021-10,Sunbird Trail,0,12034_Timetable_-_2021-10,100.0.1046828733_Timetable_-_2021-10,Northbound,1
